Review,SENTIMEN
"['puas', 'belanja', 'shopee', 'diskon', 'gratis', 'ongkir', 'jual', 'kurir', 'sopan']",POSITIF
"['aplikasi', 'bagus', 'bantu']",POSITIF
"['kecewa', 'shopee', 'eror', 'checkout', 'aja', 'susah']",NEGATIF
"['shope', 'bagus', 'suka', 'banget', 'shopee']",POSITIF
"['kecewa', 'gratis', 'ongkir', 'mahal', 'gak', 'bayar']",NEGATIF
"['kecewa', 'ubah', 'ekspedisi', 'kirim', 'cepet', 'ongkirnya', 'murah', 'mahal']",NEGATIF
"['bagus', 'banget', 'puas', 'emas', 'rapi', 'banget', 'makasih', 'ya', 'seller']",POSITIF
"['aplikasi', 'bagus', 'bonus']",POSITIF
"['aplikasi', 'eror', 'bikin', 'pusing', 'susah', 'bayar', 'susah', 'cari']",NEGATIF
"['udh', 'kecewa', 'banget', 'uang', 'pesan']",NEGATIF
"['shopee', 'emang', 'keren', 'banget', 'sayang', 'shopee', 'later', 'gak', 'pakai']",POSITIF
"['bagus', 'tahan', 'yah']",POSITIF
"['bagus', 'tingkat', 'ya', 'shopee']",POSITIF
"['shopee', 'keren', 'cuman', 'jual', 'mahal', 'barang', 'mesti', 'ken']",POSITIF
"['bagus', 'banget', 'aplikasi']",POSITIF
"['lebih', 'barang', 'jual', 'lengkap', 'luat', 'negeri', 'proses', 'bayar', 'mudah', 'aman', 'kurang', 'loading', 'banget', 'cuman', 'masukin', 'barang', 'keranjang', 'sih', 'chace', 'nya', 'tambah', 'versi', 'baru', 'plus', 'clear', 'chace', 'admin', 'aja', 'loulasan', 'lengkap']",POSITIF
"['makasih', 'shopee', 'mantap', 'kali', 'pesan', 'bravo', 'shopee', 'masker', 'untuh', 'halang', 'virus', 'korona', 'dunia', 'wabil', 'khusus', 'indonesia', 'raya', 'cinta', 'hehe']",POSITIF
"['suka', 'barang', 'nya', 'kirim', 'nya', 'kadang']",POSITIF
"['barang', 'cari']",POSITIF
"['terimakasih', 'shopee']",POSITIF
"['barang', 'sesuai', 'gambar']",POSITIF
"['suka', 'moga', 'aman', 'amanah', 'ya', 'terimakasih', 'shopee']",POSITIF
"['mesan', 'program', 'perintah', 'rumah', 'aja', 'enak']",POSITIF
"['jaga', 'percaya', 'langgan']",POSITIF
"['belanja', 'online', 'mudah']",POSITIF
"['layan', 'muas']",POSITIF
['moga'],POSITIF
"['pantau', 'kualitas', 'dr', 'produsenterutama', 'barang', 'elektronik']",POSITIF
"['mantap', 'harga', 'murah', 'bikin', 'pasar', 'ofline', 'ngadat']",POSITIF
"['suka', 'belanja', 'shopee', 'nya', 'hidup', 'virus', 'covid', 'ongkir', 'harga', 'produk', 'tolong', 'potong', 'murah', 'beli']",POSITIF
"['tolong', 'baik', 'performa', 'aplikasi', 'masak', 'beli', 'alat', 'elektronik', 'total', 'belanja', 'ya', 'ribu', 'hitung', 'manual', 'ya', 'paksa', 'kurang', 'bintang']",POSITIF
"['nyaman', 'belanja', 'shopejadi', 'ribet']",POSITIF
"['makasih', 'shopee', 'belanja', 'mudah', 'tinggal', 'nunggu', 'rumah', 'pesan', 'deh']",POSITIF
"['bagus', 'tambah']",POSITIF
"['free', 'ongkir', 'disc', 'belanja', 'ratus', 'ribu', 'gak', 'shopee', 'paylater', 'tmn', 'gw', 'jarang', 'beli', 'shopee', 'paylater']",POSITIF
"['puas', 'belanja', 'shopee', 'diskon', 'gratis', 'ongkir', 'jual', 'kurir', 'sopan']",POSITIF
"['baik', 'aman', 'nyaman']",POSITIF
"['beli', 'barang', 'share', 'lokasi', 'nya', 'gak', 'beli', 'online']",POSITIF
"['tingkat', 'aman', 'shopeepay', 'nya']",POSITIF
"['shopee', 'keren']",POSITIF
"['pinter', 'milih', 'toko', 'barang', 'murah', 'bagus', 'suka', 'free', 'ongkir', 'toko', 'nya', 'shopee', 'ya', 'bikin', 'promo', 'free', 'ongkir', 'nya', 'karenaa', 'kirim', 'lokasi', 'mahal', 'banget', 'kalo', 'ongkirnya']",POSITIF
"['lumayan', 'bantu', 'sayang', 'produk', 'gambar', 'nya', 'terkadang', 'beda', 'ekspektasi', 'nya', 'indah', 'nyata']",POSITIF
"['ya', 'ad', 'sempurna', 'aja', 'dunia', 'senang', 'shopee', 'tingkat', 'aman', 'nyaman', 'beli', 'terimakasi', 'shopee']",POSITIF
"['asalamualikum', 'nanya', 'kalo', 'buka', 'shopee', 'pakai', 'email', 'pasword', 'downlod', 'dijawa', 'soalny', 'downlodmakasih']",POSITIF
"['harga', 'murah', 'cepat', 'sampaibanyakin', 'gratis', 'ongkir', 'mahal', 'ongkirnya', 'biar', 'belanja', 'bnyak']",POSITIF
"['maaf', 'kak', 'aplikasi', 'shopee', 'bagus', 'banget', 'jasa', 'kirim', 'pakait', 'nya', 'mahal', 'banget', 'harga', 'sampe', 'gitu', 'tolong', 'baik', 'biar', 'langgan', 'maaf', 'ya', 'ucap', 'ganggu', 'aplikasi', 'nya', 'bagus', 'bangett']",POSITIF
"['bagus', 'kadang', 'suka', 'loading']",POSITIF
"['kasih', 'bintang', 'langgan', 'saran', 'sdikit', 'baik', 'lot', 'klau', 'louding', 'shopee', 'laterku', 'nol', 'tgihan', 'ku', 'bayar', 'sblm', 'jtuh', 'tempo', 'koin', 'main', 'tanam', 'ama', 'hari', 'smkin', 'sdkit', 'ongkir', 'lokal', 'gk', 'prnah', 'rp', 'dll']",POSITIF
"['kasi', 'bintang', 'ajasoalnya', 'masuk', 'cari', 'produk', 'gd', 'muncultolong', 'baik', 'donk']",POSITIF
"['shopee', 'bantu', 'shopee', 'paylater', 'sayang', 'ongkir', 'gerat', 'jarang']",POSITIF
"['shopee', 'aplikasi', 'ok', 'sih', 'belanja', 'shopee', 'pas', 'chekout', 'ya', 'kyak', 'nggk', 'rincian', 'belanja', 'gtu']",POSITIF
"['bantu', 'kaum', 'mager', 'wkwk']",POSITIF
"['pesan', 'bagus', 'mudahn', 'depan', 'layan', 'matang', 'mantap', 'lindung', 'konsumen']",POSITIF
['senang'],POSITIF
"['iklan', 'bagus', 'barang', 'nya', 'sesuai', 'pesan']",POSITIF
"['alhamdulillah', 'aplikasi', 'amanah']",POSITIF
"['alam', 'era', 'new', 'normal', 'seru', 'belanja', 'aplikasi']",POSITIF
"['jalan', 'mulusbelum', 'kerugiansemoga', 'depan', 'undi', 'shopee']",POSITIF
"['aplikasi', 'bagus', 'bantu']",POSITIF
"['oke', 'deh', 'top']",POSITIF
"['keren', 'abis', 'nih']",POSITIF
"['langgan', 'belanja']",POSITIF
"['moga', 'depa', 'ok']",POSITIF
"['saranin', 'bayar']",POSITIF
"['aplikasi', 'belanja', 'efektif', 'manfaat']",POSITIF
"['tambahin', 'promo', 'min']",POSITIF
"['bagus', 'banget', 'aplikasinyatapi', 'masalah', 'mes', 'barang']",POSITIF
"['kadang', 'lot', 'banget', 'overall']",POSITIF
"['orang', 'tau', 'sophie', 'mudah', 'belanja', 'aman']",POSITIF
['bagus'],POSITIF
"['terima', 'kasih', 'bantu']",POSITIF
"['aplikasi', 'si', 'oke', 'yah', 'sen', 'lancar', 'aja', 'ko', 'koin', 'hasil', 'belanja', 'tarik', 'spam', 'kasih', 'bintang', 'review', 'jujur', 'bagus', 'bagus', 'ko', 'gin']",POSITIF
"['aplikasi', 'bagus', 'bonus']",POSITIF
['suka'],POSITIF
"['asalamualaikum', 'aplikasi', 'bagus', 'banget', 'blom', 'tau', 'hp', 'kentang', 'kalo', 'login', 'nya', 'banget', 'aplikasi', 'nya', 'kaga', 'salah', 'salah', 'hp', 'gw', 'doank', 'thank', 'you']",POSITIF
"['shopee', 'ak', 'dh', 'bagus', 'ad', 'gtu', 'koneksi', 'nya', 'untk', 'skarang', 'bntng', 'dlu', 'yh', 'min']",POSITIF
"['layan', 'bagus']",POSITIF
"['lumayan', 'okelaa']",POSITIF
"['suka', 'pakai', 'shoppepay', 'akun', 'gak', 'pakai', 'punya', 'yaada', 'yatolong']",POSITIF
"['suka', 'banget', 'belanja', 'shopee', 'keluarin', 'voucher', 'gratis', 'ongkir']",POSITIF
"['bagus', 'aplikasi', 'nya', 'kadang', 'lelet', 'aja']",POSITIF
"['poko', 'suka', 'banget', 'bikin', 'mudah', 'kalo', 'barang', 'bagus', 'zonk', 'ya', 'gantung', 'nya', 'aja', 'nentuin', 'toko', 'ngirim', 'harga', 'kualitas', 'sih', 'inti', 'mah', 'yaa']",POSITIF
"['shopee', 'membantuterimaksih', 'shopee', 'moga', 'maju']",POSITIF
"['ga', 'kode', 'pos', 'kota', 'lurah', 'ya']",POSITIF
"['puas', 'aplikasi']",POSITIF
"['aplikasi', 'bagus', 'pengirimanya', 'cepat', 'akurat', 'tambahin', 'cod', 'bayar', 'bagus', 'makasih', 'shopee']",POSITIF
"['kurang', 'shopee', 'shopee', 'update']",POSITIF
['muas'],POSITIF
"['shope', 'adakan', 'tabung', 'emas', 'ataw', 'tabung', 'saldo', 'khusu', 'jual', 'dana', 'potong', 'tabung', 'bentuk', 'emas', 'ataw', 'nominal', 'hasil', 'jual', 'selesai', 'jual', 'tabung']",POSITIF
['muas'],POSITIF
"['kena', 'rachun', 'shopee', 'racun', 'shopee', 'tiktokawal', 'ny', 'iseng', 'iseng', 'aja', 'belanja', 'shopee', 'stelah', 'kena', 'rachun', 'diskon', 'ny', 'lohk', 'bikin', 'sedihmasa', 'kaos', 'tie', 'dye', 'harga', 'nya', 'sm', 'lengan', 'rbu', 'shopi', 'mart', 'gk', 'alfa', 'ato', 'iulasan', 'lengkap']",POSITIF
"['produk', 'kirim', 'nya', 'sesuai']",POSITIF
"['suka', 'coddan', 'barang', 'sesuai', 'gambar', 'pesanno', 'tipu']",POSITIF
"['mantap', 'discount', 'free', 'ongkir']",POSITIF
"['belanja', 'onlin', 'mudahbelanja', 'rumah', 'tinggal', 'tunggu', 'rumah', 'harisemoga', 'kilat', 'kirim', 'biar', 'orang', 'suka', 'belanja', 'onlinsukses', 'shopee']",POSITIF
"['bagus', 'orang', 'ya']",POSITIF
"['belanja', 'shopee', 'alhamdulillah', 'kecewa', 'aplikasinyahanya', 'komplain', 'ekspedisi', 'balikpapan', 'memberitahukan', 'barang', 'terima', 'barang', 'blm', 'rumah', 'esok', 'diantaritu', 'kali', 'teulasan', 'lengkap']",POSITIF
"['mantapbanyakin', 'gratis', 'ongkir']",POSITIF
"['love', 'shopee', 'mudah', 'belanja', 'shopee', 'ayok', 'kakak', 'online', 'shopee', 'gratis', 'ongkir', 'voucher', 'and', 'casback']",POSITIF
"['barang', 'sesuaitapi', 'ongkir', 'mahal', 'kdangan', 'sihtapi', 'puaspengiriman', 'jg', 'cepat']",POSITIF
"['keren', 'dah', 'walupun', 'terkadang', 'shopee', 'pay', 'nya', 'eror']",POSITIF
"['bagus', 'banget', 'nget', 'nget', 'ongkir', 'ny', 'suka', 'mahal']",POSITIF
"['pagi', 'sms', 'ktanya', 'hadiah', 'uang', 'shopee', 'bneran', 'shopee', 'tipu']",POSITIF
"['lumayan', 'belanja', 'shopee', 'mudah', 'voucher', 'nya']",POSITIF
"['lumayan', 'deh', 'shopee', 'bikin', 'event', 'ya']",POSITIF
"['shopee', 'oke', 'pesan', 'cepet']",POSITIF
"['lumamayan', 'bantu', 'beli', 'barang', 'gak', 'pergi', 'tingal', 'pesan', 'sajah', 'kirim', 'jga', 'cepatt']",POSITIF
"['sip', 'pokok', 'shopee']",POSITIF
"['aplikasi', 'baik', 'coba', 'deh', 'flash', 'sale', 'dibanyakin', 'stok', 'suka', 'ga']",POSITIF
"['gratis', 'ongkirnya']",POSITIF
"['shopee', 'mantap', 'harga', 'turunin']",POSITIF
"['belanja', 'ga', 'ribet', 'shopee', 'ja']",POSITIF
"['bagus', 'bangettapi', 'kadang', 'kadang', 'loading']",POSITIF
"['aplikasi', 'spay', 'later']",POSITIF
"['puas', 'aplikasi', 'shoppe', 'aplikasi', 'juta', 'umat', 'cod', 'ya']",POSITIF
"['download', 'shopee', 'baru', 'upload', 'video', 'retur', 'barang']",POSITIF
"['kualitas', 'barang']",POSITIF
"['mudah', 'pilih', 'smw', 'butuh', 'gratis', 'ongkiry']",POSITIF
"['pakai', 'shopee', 'puas', 'banget', 'tolong', 'shopeepaylaternya', 'huhu']",POSITIF
"['voucher', 'gratis', 'ongkirnya', 'bangetdulu', 'bulan', 'voucher']",POSITIF
"['gratis', 'ongkir', 'nya']",POSITIF
"['bagus', 'mantap']",POSITIF
"['kadang', 'suka', 'ngelag', 'rata', 'oke', 'sayang', 'voucher', 'gratis', 'ongkir']",POSITIF
"['neng', 'banget', 'belanja', 'shopee', 'ga', 'rugi', 'deh']",POSITIF
"['apl', 'bantu', 'banget', 'rakyat', 'indonesia', 'situasi', 'sperti', 'skg', 'covid-', 'mlanda', 'tetep', 'belanja', 'rumah', 'terimakasih', 'shopee']",POSITIF
"['respon', 'cepatongkir', 'murah']",POSITIF
"['puas', 'banget']",POSITIF
"['langgan', 'setia', 'sampe', 'aplikasi', 'shopee', 'pinjam', 'sayang', 'stelah', 'aju', 'tuju', 'pd', 'sma', 'aju', 'smpe', 'dana', 'ga', 'cair', 'udh', 'minggu', 'complain', 'chat', 'email', 'ga', 'ad', 'hasil', 'judul', 'phpin', 'nihh', 'sma', 'shopee']",POSITIF
"['shopee', 'online', 'shop', 'percaya', 'lh', 'pokok']",POSITIF
"['loadingnya', 'pakai', 'wifi', 'pakait', 'data']",POSITIF
"['mudah', 'belanjasayakn', 'orang', 'jarang', 'mana']",POSITIF
"['lumayan', 'bagus', 'buka', 'lambat']",POSITIF
"['sebenernya', 'shopee', 'bagus', 'cuman', 'saran', 'aja', 'kembaliin', 'fitur', 'wishlist', 'ga', 'ketandain', 'biar', 'ga', 'susah', 'ubah', 'pesan', 'wishlist', 'pas', 'cekout', 'barang', 'cek', 'koin', 'pelit', 'kasih', 'koin', 'rangin', 'mulu', 'sih', 'koin', 'hari']",POSITIF
"['belanja', 'nyaman', 'belanja', 'aman']",POSITIF
"['bagus', 'dn', 'mntapi', 'cumannap', 'guna', 'panjang', 'pembayarantiba', 'cancel', 'sndari', 'olh', 'sophee']",POSITIF
"['belanja', 'mudah', 'harga', 'saing', 'bnyak', 'voucher', 'free', 'ongkir', 'hrus', 'teliti', 'beli', 'barang', 'murah', 'heheh', 'kualitas', 'sesuai', 'harga']",POSITIF
"['suka', 'banget', 'deh']",POSITIF
"['bagusuntuk', 'layan', 'puasbarang', 'pesan', 'sesuaicuma', 'sampai', 'estimasi', 'kirim', 'minggu']",POSITIF
"['puas', 'belanja', 'shopee']",POSITIF
"['suka', 'belanja', 'shopee', 'sih', 'sayang', 'voucher', 'free', 'ongkirnya', 'minimal', 'barang', 'luar', 'jawa', 'otomatis', 'ongkirnya', 'mahal', 'dibanyakin', 'vouchernya']",POSITIF
"['simple', 'kompetitif']",POSITIF
"['barang', 'nya', 'baguss']",POSITIF
"['langgan', 'puas', 'shopee', 'tolong', 'fitur', 'checkout', 'shopepay', 'saldo', 'kurang', 'bayar', 'cod', 'sekian', 'terimakasih']",POSITIF
"['bagus', 'banget', 'aplikasi', 'shopee', 'nya']",POSITIF
"['harga', 'produk', 'bagus', 'produk', 'original']",POSITIF
"['bagus', 'shopee', 'bantu', 'jual', 'online']",POSITIF
"['puas', 'belanja', 'shopee']",POSITIF
"['kirim', 'ok', 'kurir', 'ok', 'ok']",POSITIF
"['gratis', 'ongkirnya', 'suka', 'hilang', 'hilang', 'suka', 'kasih', 'bintang']",POSITIF
"['suku', 'belanja', 'aplikasi', 'kadang', 'kecewa', 'pesan', 'barang', 'sesuai', 'aja', 'konfirmasi', 'suka', 'kirim', 'cepet']",POSITIF
"['shopee', 'bantu', 'belanja', 'gak', 'ribet', 'kualitas', 'produk', 'nya', 'bagus', 'sesuai', 'pict', 'nya']",POSITIF
"['bagus', 'sih', 'cuman', 'kendala', 'nya', 'klaim', 'voucher', 'gratis', 'ongkir', 'gabisa', 'pakai', 'voucher', 'nya']",POSITIF
"['assalamu', 'alaikum', 'warahmatullahi', 'wa', 'barokatuh', 'nayla', 'kasih', 'bintang', 'shopee', 'foto', 'bel', 'de', 'lengkap']",POSITIF
"['senang', 'pakai', 'shopee', 'order', 'gak', 'barang', 'terima', 'cacat', 'akun', 'nonaktif', 'cod', 'gak', 'gagal', 'order', 'lapak', 'barang', 'kosong']",POSITIF
"['shopee', 'belanja', 'mudahwalaupun', 'kasang', 'ongkos', 'kirim', 'mahal', 'harga', 'barang', 'beli']",POSITIF
"['aplikasi', 'online', 'shop', 'bagus', 'sih', 'gratis', 'ongkir', 'sampe', 'rp', 'sayang', 'gk', 'produk', 'sampe', 'segitu', 'ongkirnya', 'jasa', 'kirim', 'shopee', 'express', 'standard', 'nggak', 'cod', 'sayang', 'banget', 'cod', 'yah', 'pakai', 'ongkirnya', 'mahal', 'banget', 'produk', 'ulas', 'lengkap']",POSITIF
"['hasil', 'barang', 'beli', 'bagus', 'layan', 'cepat']",POSITIF
"['shopee', 'gratis', 'ongkir', 'shopeepay', 'shopeepay', 'ya', 'nanggung', 'ongkir', 'shopee', 'banget', 'gratis', 'ongkir', 'ubah', 'zaman']",POSITIF
"['mudah', 'cepat', 'layan', 'terimakasih', 'shopee']",POSITIF
"['tingkat', 'aplikasi', 'bagus']",POSITIF
"['mantap', 'shopee', 'baik']",POSITIF
"['lumayan', 'cari', 'pengahasilan', 'sinitapi', 'malas', 'ny', 'diperbaruin']",POSITIF
['bantu'],POSITIF
"['bagus', 'layan', 'muas']",POSITIF
"['shopee', 'keren', 'bantu', 'beli', 'butuh', 'cepat']",POSITIF
"['suka', 'belanja', 'dishopee', 'percaya', 'baik', 'deh', 'pokok']",POSITIF
"['hai', 'shopee', 'suka', 'banget', 'kamutapi', 'jasa', 'kirim', 'otomatis', 'beli', 'nggak', 'bikin', 'pesan', 'nggak', 'check', 'out', 'dehgimana', 'coba']",POSITIF
"['sekian', 'belanja', 'shopee', 'kecewa']",POSITIF
"['shopee', 'mantap', 'tahan']",POSITIF
"['bagus', 'terimakasih', 'shopee']",POSITIF
"['belanja', 'shoppe', 'alhamdulillah', 'barang', 'sesuai', 'tahan', 'tingkat', 'layan', 'moga', 'gak', 'nyecewain']",POSITIF
"['bantu', 'semogaa', 'shopee', 'ny', 'teliti', 'produk', 'jual', 'biar', 'ad', 'palsu', 'gitu', 'ngerugiin', 'nama', 'shope', 'hhe']",POSITIF
"['kualitas', 'produk', 'pngiriman', 'barang', 'aja', 'ongkir', 'mahal']",POSITIF
"['pakai', 'shoppe', 'emang', 'mantep', 'pas', 'fitur', 'paylater', 'udh', 'kagak', 'yah', 'tolong', 'shoppe', 'adain', 'fitur', 'paylater', 'ngebantu', 'usaha', 'moga', 'depan']",POSITIF
"['bagus', 'banget', 'aplikasi', 'bantu', 'jual', 'ngerti', 'daftar', 'rekening', 'ga', 'masuk', 'nya', 'sms', 'pemberitahuan', 'kode', 'nya', 'tolong', 'bantu', 'nya']",POSITIF
"['walaus', 'bagus', 'jual', 'curang', 'bintang', 'aja']",POSITIF
"['bravo', 'shopeeharus', 'profesional', 'pilih', 'prodaks', 'murtagus', 'murah', 'bagus']",POSITIF
"['moga', 'amanah']",POSITIF
"['puas', 'belanja', 'shopee']",POSITIF
"['produk', 'komplit', 'bonus']",POSITIF
"['bagus', 'bantu', 'adik', 'ngga', 'minimal', 'belanja', 'gratis', 'ongkir', 'suka', 'app']",POSITIF
"['aplikasi', 'bagus', 'banget', 'pokok', 'nya', 'ok', 'lh', 'nggak', 'gwe', 'ketik', 'aplikasi', 'basgus']",POSITIF
"['bantu', 'butuh', 'barang', 'toko', 'slow', 'respon', 'balas']",POSITIF
"['respown', 'jual', 'cepat']",POSITIF
"['bagus', 'shopee', 'layan']",POSITIF
"['responnya', 'cepatbelanja', 'shopee', 'aman', 'mudah']",POSITIF
"['muas', 'ngga', 'kecewa']",POSITIF
"['aplikasi', 'nya', 'bagus', 'kecewa', 'kali', 'aju', 'pinjam', 'shopee', 'leater', 'sukses', 'aplikasi', 'shopee', 'belanja', 'kecewa', 'hapus', 'akun', 'shopee']",POSITIF
"['belanja', 'ga', 'ribet', 'rumah']",POSITIF
"['kirim', 'cepat', 'barang', 'sesuai', 'pesan', 'terimakasih', 'shopee']",POSITIF
['bantu'],POSITIF
"['bagus', 'tahan']",POSITIF
"['banyakin', 'gratis', 'ongkir', 'ya', 'cod', 'nya', 'kasi', 'minim', 'belanja', 'hehe']",POSITIF
['puas'],POSITIF
"['layan', 'bagus', 'seller', 'tipu', 'ya']",POSITIF
"['responsif', 'komplain', 'beli']",POSITIF
"['mudah', 'belanja']",POSITIF
"['puaass', 'belanja', 'shopee']",POSITIF
"['naik', 'bintang', 'ulas', 'kasih', 'bintang']",POSITIF
"['bagus', 'tahan']",POSITIF
"['belanja', 'online', 'percaya', 'moga', 'voucher', 'gratis', 'ongkirnya']",POSITIF
"['shopee', 'lbh', 'suruh', 'update', 'terussekarang', 'belanja', 'shopee', 'kadang', 'suka', 'lot', 'akut', 'mo', 'ngelacak', 'lokasi', 'barang', 'sampe', 'manakadang', 'kemas', 'barang', 'kirim', 'penjuallemot', 'banget', 'shopeelama', 'banget', 'tampilin', 'gambar', 'mls', 'duluan', 'mo', 'blisekarang', 'shopee', 'gratis', 'ongkirnya', 'lbh', 'banyakulasan', 'lengkap']",POSITIF
"['suka', 'belanja', 'shopee']",POSITIF
"['layan', 'ceppat', 'muas']",POSITIF
"['belanja', 'online', 'ku', 'shopee', 'aja']",POSITIF
"['bagus', 'sih', 'bos', 'nyaman', 'kurang', 'ongkirnya', 'mahal', 'bos', 'bandingin', 'toko', 'sebelahya', 'wlwpun', 'bnyk', 'promonya', 'guna']",POSITIF
"['gratis', 'ongkirnya', 'shope', 'pay', 'biar', 'smangat', 'belanja', 'nya']",POSITIF
"['transaksi', 'nyaman', 'aman']",POSITIF
"['aplikasi', 'keren', 'hasil', 'uang', 'mudah', 'belanja']",POSITIF
"['bagus', 'aplikasi', 'nya', 'racun', 'bikin', 'dompet', 'nang']",POSITIF
"['bagus', 'beli', 'komplain', 'barang', 'bela', 'jual']",POSITIF
"['barang', 'sesuai', 'pesan', 'pokok']",POSITIF
"['mantap', 'free', 'ongkirnya']",POSITIF
"['banyakin', 'voucher', 'gratis', 'ongkirnya']",POSITIF
"['kalo', 'shopee', 'belanja', 'sepatu', 'ukuranya', 'gaxsoalnya', 'blum', 'prnh', 'pke', 'shope', 'nya', 'pke', 'lazadamudahan', 'ja', 'gampng', 'belanja', 'nyabiar', 'lnggann', 'shope']",POSITIF
"['moga', 'bantu', 'orang']",POSITIF
"['oke', 'belanja', 'sesuai', 'prosedur', 'shopee', 'biar', 'amanah']",POSITIF
"['belanja', 'mudahh']",POSITIF
"['promo', 'no', 'kaleng', 'gak', 'belah']",POSITIF
"['bagus', 'muas']",POSITIF
['mantap'],POSITIF
"['kualitas', 'barang', 'sesuai']",POSITIF
"['kirim', 'percaya', 'moga', 'depa', 'maju', 'gratis', 'ongkirv']",POSITIF
"['suka', 'baik']",POSITIF
"['belanja', 'shopee', 'kendala', 'apa']",POSITIF
"['log', 'in', 'makasih', 'shopeega', 'beli', 'hp', 'pakai', 'hp', 'bisatidak', 'merepotkansemoga', 'ya']",POSITIF
"['transaksi', 'ok', 'baik', 'aplikasi', 'butuh', 'kuota', 'daerah', 'sinyal', 'bagus', 'berat', 'lambat']",POSITIF
"['lumayan', 'puas', 'seller', 'shopee']",POSITIF
"['pokok', 'keren', 'aplikasi']",POSITIF
['muas'],POSITIF
"['belanja', 'shopee', 'bagus', 'sesuai', 'pesan']",POSITIF
"['bagus', 'mudah', 'belanja', 'era', 'online', 'spt', 'skg']",POSITIF
"['alhamdulillah', 'langgan', 'shopee']",POSITIF
"['banget', 'belanja', 'ga', 'kecewa', 'apa', 'butuh', 'shopee', 'toko', 'ga', 'jujur', 'jual', 'barang', 'sesuai', 'denga', 'foto', 'pajang', 'sih', 'puas', 'aja', 'pakai', 'aplikasi']",POSITIF
"['sukses', 'ya', 'aplikasi']",POSITIF
"['baik', 'suka']",POSITIF
"['beli', 'lebiih', 'aman', 'percaya']",POSITIF
"['bagus', 'banget', 'aplikasi', 'nya']",POSITIF
